epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
11,3335.46,1.78718,3.496,2.297,1.58972,0,0.13616,0.19916,0.09235,0.03299,0.09288,0.15499,0.06708,0.01905,2.0606,3.77903,2.70557,1.82822,0,0.00114606,0.00114606,0.00114606
12,3652.68,1.77665,3.44508,2.26722,1.56357,0,0.10825,0.21849,0.11996,0.04273,0.13835,0.14383,0.08802,0.02808,2.04238,3.59104,2.63449,1.83876,0,0.00111776,0.00111776,0.00111776
13,4002.81,1.73815,3.42321,2.2029,1.55781,0,0.47861,0.15647,0.11106,0.04575,0.46967,0.1477,0.09967,0.03201,1.99288,3.60011,2.67076,1.76786,0,0.00108947,0.00108947,0.00108947
14,4343.06,1.7337,3.39706,2.2256,1.54372,0,0.13901,0.16914,0.11929,0.04441,0.1095,0.13294,0.08023,0.02561,1.99874,3.6681,2.63189,1.81665,0,0.00106118,0.00106118,0.00106118
15,4643.88,1.73996,3.34189,2.20134,1.55749,0,0.16183,0.21689,0.13019,0.05269,0.1213,0.1533,0.1017,0.03798,1.98918,3.60216,2.53223,1.75388,0,0.00103288,0.00103288,0.00103288
16,4971.08,1.72731,3.32448,2.18181,1.52401,0,0.29085,0.20282,0.14357,0.05161,0.19504,0.13774,0.09507,0.03156,1.99904,3.53939,2.62726,1.75559,0,0.00100459,0.00100459,0.00100459
17,5307.11,1.67677,3.34437,2.16,1.51881,0,0.23446,0.17745,0.12309,0.05126,0.22293,0.15965,0.10555,0.0331,1.99446,3.56397,2.57096,1.76029,0,0.000976293,0.000976293,0.000976293
18,5663.56,1.71145,3.28262,2.15694,1.53216,0,0.16156,0.15371,0.12377,0.05173,0.13937,0.19423,0.09359,0.02809,1.96491,3.55986,2.47064,1.74767,0,0.000947999,0.000947999,0.000947999
19,5985.06,1.65732,3.30613,2.12477,1.49888,0,0.22197,0.29991,0.18407,0.06677,0.17025,0.22869,0.1274,0.03986,1.9337,3.51011,2.44695,1.73313,0,0.000919704,0.000919704,0.000919704
20,6309.64,1.67431,3.27761,2.13302,1.50604,0,0.18009,0.25174,0.13749,0.05237,0.14123,0.15849,0.10296,0.03427,1.98183,3.42625,2.47426,1.75691,0,0.00089141,0.00089141,0.00089141
21,6637.43,1.63841,3.25465,2.10825,1.5014,0,0.2,0.20387,0.1257,0.05249,0.18939,0.1916,0.10999,0.03475,1.92209,3.44187,2.51218,1.69148,0,0.000863116,0.000863116,0.000863116
22,6961.79,1.62934,3.26423,2.08202,1.48243,0,0.17892,0.17144,0.12055,0.04986,0.13622,0.14366,0.08829,0.03134,1.95555,3.45883,2.46973,1.74739,0,0.000834822,0.000834822,0.000834822
23,7281.21,1.62294,3.15214,2.04935,1.46648,0,0.17485,0.18849,0.12777,0.05345,0.17304,0.15168,0.11376,0.03901,1.89916,3.43644,2.46611,1.69681,0,0.000806528,0.000806528,0.000806528
24,7607.36,1.63228,3.18087,2.05469,1.47501,0,0.24712,0.24905,0.16905,0.07249,0.23737,0.23705,0.14482,0.04698,1.92606,3.36756,2.47226,1.71385,0,0.000778233,0.000778233,0.000778233
25,7939.86,1.61791,3.14276,2.05361,1.47861,0,0.22028,0.25898,0.17058,0.06263,0.22045,0.23086,0.15601,0.04742,1.92624,3.40641,2.52878,1.70917,0,0.000749939,0.000749939,0.000749939
26,8255.26,1.60868,3.12781,1.99336,1.46707,0,0.24683,0.21071,0.1464,0.06002,0.22661,0.19672,0.12536,0.04226,1.89496,3.40849,2.43181,1.6818,0,0.000721645,0.000721645,0.000721645
27,8576.28,1.60412,3.13475,2.00544,1.45771,0,0.18107,0.17697,0.12437,0.05019,0.14898,0.21715,0.10015,0.03527,1.96823,3.44196,2.44816,1.78246,0,0.000693351,0.000693351,0.000693351
28,8887.7,1.60784,3.10861,2.00752,1.44682,0,0.18433,0.31659,0.13395,0.05798,0.18176,0.29721,0.12971,0.04292,1.94236,3.37879,2.43755,1.69704,0,0.000665057,0.000665057,0.000665057
29,9208.49,1.57902,3.05978,1.97542,1.43989,0,0.14892,0.1624,0.12028,0.05026,0.14379,0.14082,0.10606,0.03733,1.92939,3.3901,2.57859,1.70434,0,0.000636762,0.000636762,0.000636762
30,9531.52,1.58343,3.08273,1.99157,1.45361,0,0.2524,0.26828,0.14827,0.06393,0.2252,0.2521,0.13031,0.04338,1.93247,3.36394,2.38994,1.71908,0,0.000608468,0.000608468,0.000608468
31,9844.59,1.57009,3.11743,1.98606,1.43997,0,0.21826,0.22712,0.14756,0.06344,0.20877,0.23927,0.12826,0.0422,1.90124,3.3565,2.39258,1.71823,0,0.000580174,0.000580174,0.000580174
32,10153,1.52486,2.99657,1.92347,1.42965,0,0.21743,0.22815,0.14466,0.05872,0.1908,0.1939,0.11313,0.0381,1.87434,3.38861,2.43783,1.71072,0,0.00055188,0.00055188,0.00055188
33,10474.3,1.53615,2.99087,1.92148,1.41105,0,0.19256,0.26584,0.15503,0.06891,0.188,0.25937,0.13119,0.04135,1.86595,3.29651,2.43221,1.6842,0,0.000523586,0.000523586,0.000523586
34,10786.5,1.52677,2.9396,1.88334,1.40226,0,0.24918,0.30793,0.18677,0.07216,0.24117,0.27948,0.16705,0.05532,1.86874,3.34344,2.35769,1.65718,0,0.000495291,0.000495291,0.000495291
35,11100.4,1.52087,2.99308,1.90573,1.41072,0,0.28746,0.28542,0.17764,0.06976,0.27079,0.27503,0.16,0.05091,1.90642,3.29882,2.37422,1.66926,0,0.000466997,0.000466997,0.000466997
36,11416.8,1.49727,2.97426,1.87631,1.39054,0,0.19188,0.28222,0.16971,0.06946,0.18,0.22407,0.13857,0.04796,1.90359,3.39395,2.34358,1.69811,0,0.000438703,0.000438703,0.000438703
37,11741.4,1.49519,2.96387,1.85824,1.38542,0,0.27559,0.2293,0.15783,0.06518,0.28715,0.23289,0.14975,0.04947,1.89931,3.32775,2.3581,1.70872,0,0.000410409,0.000410409,0.000410409
38,12052.4,1.48152,2.9185,1.8426,1.38918,0,0.19259,0.3119,0.15228,0.06448,0.18807,0.267,0.1369,0.0472,1.86824,3.2668,2.40647,1.67137,0,0.000382115,0.000382115,0.000382115
39,12371.8,1.49235,2.89186,1.82853,1.38803,0,0.21814,0.22686,0.15868,0.0733,0.20673,0.21726,0.13311,0.04786,1.91173,3.27671,2.36445,1.6866,0,0.00035382,0.00035382,0.00035382
40,12687.9,1.48246,2.93911,1.81313,1.38859,0,0.26752,0.21034,0.1686,0.07212,0.23748,0.18998,0.14143,0.04922,1.89504,3.27069,2.3469,1.6777,0,0.000325526,0.000325526,0.000325526
41,12970.7,1.57883,2.84424,1.99951,1.46672,0,0.18244,0.2578,0.1524,0.06683,0.17679,0.22484,0.12467,0.04182,1.87569,3.38694,2.35272,1.69197,0,0.000297232,0.000297232,0.000297232
42,13267.7,1.55165,2.86465,1.92069,1.44598,0,0.25406,0.27049,0.17194,0.07264,0.25248,0.29109,0.16164,0.05321,1.92131,3.38682,2.30987,1.68827,0,0.000268938,0.000268938,0.000268938
43,13559.5,1.50437,2.79298,1.87501,1.41429,0,0.26705,0.30051,0.17444,0.07583,0.25023,0.31462,0.1668,0.05647,1.91384,3.30595,2.3457,1.68201,0,0.000240644,0.000240644,0.000240644
44,13842.7,1.50852,2.80177,1.83305,1.4227,0,0.20783,0.21945,0.1637,0.07631,0.23565,0.18885,0.14354,0.05153,1.83708,3.30564,2.35453,1.65874,0,0.000212349,0.000212349,0.000212349
45,14138.1,1.49422,2.77295,1.80947,1.40354,0,0.25761,0.21196,0.16555,0.07408,0.23514,0.2138,0.14557,0.04712,1.86786,3.32753,2.33849,1.67439,0,0.000184055,0.000184055,0.000184055
46,14442.2,1.47162,2.75735,1.78408,1.39638,0,0.24891,0.22909,0.1755,0.08173,0.22962,0.20421,0.15503,0.05473,1.87356,3.32872,2.34226,1.67823,0,0.000155761,0.000155761,0.000155761
47,14754.6,1.47662,2.68958,1.76877,1.39932,0,0.26611,0.22713,0.17847,0.08247,0.23693,0.19559,0.15294,0.05421,1.88696,3.30763,2.33184,1.68577,0,0.000127467,0.000127467,0.000127467
48,15049.1,1.4613,2.71573,1.76359,1.38542,0,0.23749,0.2392,0.16902,0.07679,0.19842,0.20232,0.13355,0.04805,1.85828,3.29444,2.30936,1.6729,0,9.91726e-05,9.91726e-05,9.91726e-05
49,15337.4,1.43423,2.68246,1.72566,1.37119,0,0.23564,0.2655,0.16617,0.07458,0.18473,0.29509,0.13778,0.04804,1.85641,3.2955,2.3255,1.67846,0,7.08784e-05,7.08784e-05,7.08784e-05
50,15634,1.44928,2.67215,1.73129,1.38338,0,0.22481,0.24621,0.16831,0.07524,0.18235,0.31028,0.14047,0.05043,1.87336,3.3048,2.33422,1.68329,0,4.25842e-05,4.25842e-05,4.25842e-05
